"PassengerId","Survived"
892,2
893,2
894,2
895,2
896,1
897,2
898,2
899,2
900,1
901,2
902,2
903,2
904,1
905,2
906,1
907,1
908,2
909,2
910,2
911,1
912,2
913,1
914,1
915,2
916,1
917,2
918,1
919,2
920,2
921,2
922,2
923,2
924,1
925,2
926,2
927,2
928,2
929,2
930,2
931,1
932,2
933,2
934,2
935,1
936,1
937,2
938,2
939,2
940,1
941,1
942,2
943,2
944,1
945,1
946,2
947,2
948,2
949,2
950,2
951,1
952,2
953,2
954,2
955,1
956,1
957,1
958,1
959,2
960,2
961,1
962,1
963,2
964,2
965,1
966,1
967,2
968,2
969,1
970,2
971,1
972,1
973,2
974,2
975,2
976,2
977,2
978,1
979,2
980,1
981,1
982,1
983,2
984,1
985,2
986,2
987,2
988,1
989,2
990,1
991,2
992,1
993,2
994,2
995,2
996,1
997,2
998,2
999,2
1000,2
1001,2
1002,2
1003,1
1004,1
1005,1
1006,1
1007,2
1008,2
1009,1
1010,2
1011,1
1012,1
1013,2
1014,1
1015,2
1016,2
1017,1
1018,2
1019,1
1020,2
1021,2
1022,2
1023,2
1024,2
1025,2
1026,2
1027,2
1028,2
1029,2
1030,2
1031,2
1032,2
1033,1
1034,2
1035,2
1036,2
1037,2
1038,2
1039,2
1040,1
1041,2
1042,1
1043,2
1044,2
1045,1
1046,2
1047,2
1048,1
1049,2
1050,2
1051,1
1052,1
1053,1
1054,1
1055,2
1056,2
1057,2
1058,2
1059,2
1060,1
1061,2
1062,2
1063,2
1064,2
1065,2
1066,2
1067,1
1068,1
1069,2
1070,1
1071,1
1072,2
1073,2
1074,1
1075,2
1076,1
1077,2
1078,1
1079,2
1080,2
1081,2
1082,2
1083,2
1084,1
1085,2
1086,1
1087,2
1088,1
1089,2
1090,2
1091,2
1092,1
1093,1
1094,1
1095,1
1096,2
1097,2
1098,1
1099,2
1100,1
1101,2
1102,2
1103,2
1104,2
1105,1
1106,2
1107,2
1108,1
1109,2
1110,1
1111,2
1112,1
1113,2
1114,1
1115,2
1116,1
1117,1
1118,2
1119,1
1120,2
1121,2
1122,2
1123,1
1124,2
1125,2
1126,2
1127,2
1128,2
1129,2
1130,1
1131,1
1132,1
1133,1
1134,2
1135,2
1136,2
1137,1
1138,1
1139,2
1140,1
1141,2
1142,1
1143,2
1144,2
1145,2
1146,2
1147,2
1148,2
1149,2
1150,1
1151,2
1152,2
1153,2
1154,1
1155,1
1156,2
1157,2
1158,2
1159,2
1160,2
1161,2
1162,2
1163,2
1164,1
1165,1
1166,2
1167,1
1168,2
1169,2
1170,2
1171,2
1172,2
1173,1
1174,1
1175,2
1176,1
1177,2
1178,2
1179,2
1180,2
1181,2
1182,2
1183,2
1184,2
1185,1
1186,2
1187,2
1188,1
1189,2
1190,2
1191,2
1192,2
1193,2
1194,2
1195,2
1196,1
1197,1
1198,2
1199,1
1200,2
1201,2
1202,2
1203,2
1204,2
1205,2
1206,1
1207,1
1208,2
1209,2
1210,2
1211,2
1212,2
1213,2
1214,2
1215,1
1216,1
1217,2
1218,1
1219,2
1220,2
1221,2
1222,1
1223,2
1224,2
1225,1
1226,2
1227,2
1228,2
1229,2
1230,2
1231,1
1232,2
1233,2
1234,2
1235,1
1236,1
1237,1
1238,2
1239,1
1240,2
1241,1
1242,1
1243,2
1244,2
1245,2
1246,1
1247,2
1248,1
1249,2
1250,2
1251,1
1252,2
1253,1
1254,1
1255,2
1256,1
1257,2
1258,2
1259,2
1260,1
1261,2
1262,2
1263,1
1264,2
1265,2
1266,1
1267,1
1268,2
1269,2
1270,2
1271,2
1272,2
1273,2
1274,2
1275,1
1276,2
1277,1
1278,2
1279,2
1280,2
1281,2
1282,2
1283,1
1284,1
1285,2
1286,2
1287,1
1288,2
1289,1
1290,2
1291,2
1292,1
1293,2
1294,1
1295,2
1296,1
1297,2
1298,2
1299,2
1300,1
1301,1
1302,1
1303,1
1304,2
1305,2
1306,1
1307,2
1308,2
1309,1
